epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,420.204,0.91531,0.50042,1.13347,1,0.85518,0.94473,0.65099,1.23872,0.61272,1.4504,0.0004556,0.0004556,0.0004556
80,425.226,0.92453,0.52174,1.14132,0.93432,0.92453,0.95404,0.67127,1.21242,0.56445,1.41864,0.0004358,0.0004358,0.0004358
81,430.306,0.89026,0.52179,1.15637,0.91835,0.9434,0.95634,0.67148,1.22035,0.57377,1.42671,0.000416,0.000416,0.000416
82,435.378,0.87217,0.49963,1.09718,0.90879,0.9434,0.96104,0.66486,1.25832,0.59324,1.46987,0.0003962,0.0003962,0.0003962
83,440.52,0.92667,0.52029,1.17088,0.91406,0.92453,0.96535,0.68124,1.24248,0.5849,1.46377,0.0003764,0.0003764,0.0003764
84,445.684,0.86732,0.49034,1.12034,0.89711,0.88679,0.95729,0.66647,1.23913,0.58489,1.45075,0.0003566,0.0003566,0.0003566
85,450.761,0.91789,0.52552,1.13686,0.9216,0.8872,0.96352,0.68036,1.19342,0.5681,1.39396,0.0003368,0.0003368,0.0003368
86,455.777,0.88257,0.48838,1.11724,0.93854,0.88679,0.96166,0.66895,1.18515,0.57938,1.38144,0.000317,0.000317,0.000317
87,460.878,0.83172,0.4813,1.08525,0.92781,0.88679,0.9569,0.65102,1.23699,0.57779,1.44687,0.0002972,0.0002972,0.0002972
88,466.032,0.89439,0.52583,1.11048,0.90486,0.9434,0.95852,0.65603,1.19208,0.56924,1.41204,0.0002774,0.0002774,0.0002774
89,471.04,0.86585,0.51528,1.115,0.88734,0.96226,0.95929,0.65454,1.19987,0.56948,1.43233,0.0002576,0.0002576,0.0002576
90,476.469,0.89167,0.49652,1.14694,0.90917,0.94433,0.96126,0.63975,1.2657,0.59132,1.50509,0.0002378,0.0002378,0.0002378
91,513.535,0.81396,0.46995,1.17591,0.94132,0.92453,0.96076,0.65438,1.26366,0.58582,1.50727,0.000218,0.000218,0.000218
92,518.45,0.78606,0.44266,1.14602,0.94271,0.96226,0.96448,0.66796,1.16972,0.56699,1.39905,0.0001982,0.0001982,0.0001982
93,523.519,0.74984,0.42137,1.10257,0.94442,0.96188,0.96557,0.67217,1.18596,0.55996,1.40881,0.0001784,0.0001784,0.0001784
94,528.455,0.74067,0.44951,1.10846,0.92704,0.95901,0.9643,0.67137,1.19359,0.55939,1.42992,0.0001586,0.0001586,0.0001586
95,533.47,0.7489,0.42877,1.11033,0.92699,0.95826,0.96293,0.66598,1.18332,0.56192,1.41794,0.0001388,0.0001388,0.0001388
96,538.546,0.77866,0.4487,1.13494,0.94326,0.94098,0.96334,0.66203,1.1809,0.57008,1.40132,0.000119,0.000119,0.000119
97,543.535,0.72081,0.42369,1.10885,0.94427,0.95913,0.96221,0.66964,1.18273,0.56631,1.40778,9.92e-05,9.92e-05,9.92e-05
98,548.53,0.68128,0.39447,1.0574,0.9403,0.96226,0.96256,0.66969,1.20617,0.56166,1.44855,7.94e-05,7.94e-05,7.94e-05
99,553.933,0.72335,0.40165,1.08602,0.94202,0.96226,0.96343,0.67052,1.21371,0.56677,1.47484,5.96e-05,5.96e-05,5.96e-05
100,559.612,0.71155,0.40829,1.06043,0.94175,0.96226,0.96337,0.66431,1.22193,0.56524,1.4794,3.98e-05,3.98e-05,3.98e-05
