epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,296.332,0.69788,0.54348,1.6884,0.942,0.93708,0.97915,0.75456,0.85674,0.50655,2.0613,0.000317,0.000317,0.000317
87,299.795,0.70221,0.55989,1.66415,0.93859,0.94231,0.98402,0.76269,0.84451,0.46694,1.99333,0.0002972,0.0002972,0.0002972
88,303.173,0.72817,0.60051,1.66176,0.9341,0.94231,0.98384,0.77377,0.86097,0.47163,2.0465,0.0002774,0.0002774,0.0002774
89,306.572,0.72679,0.56033,1.64462,0.93557,0.94231,0.98475,0.77786,0.86536,0.4658,2.15211,0.0002576,0.0002576,0.0002576
90,309.971,0.71886,0.57061,1.75419,0.92829,0.94231,0.98347,0.7777,0.88386,0.47843,2.15934,0.0002378,0.0002378,0.0002378
91,345.666,0.53207,0.4484,1.48882,0.91977,0.94231,0.98201,0.76833,0.9134,0.48396,2.14019,0.000218,0.000218,0.000218
92,348.93,0.50347,0.39339,1.42033,0.89274,0.9604,0.97874,0.75191,0.89845,0.50044,2.12957,0.0001982,0.0001982,0.0001982
93,352.207,0.48455,0.37623,1.37749,0.89276,0.96054,0.96138,0.74773,0.89483,0.53054,2.15081,0.0001784,0.0001784,0.0001784
94,355.451,0.49732,0.40195,1.49897,0.89268,0.95983,0.96132,0.7492,0.89949,0.58091,2.12022,0.0001586,0.0001586,0.0001586
95,358.719,0.50541,0.37167,1.41726,0.98289,0.86538,0.96244,0.75176,0.8972,0.59797,2.11141,0.0001388,0.0001388,0.0001388
96,361.992,0.49611,0.38481,1.47572,0.97834,0.86849,0.9628,0.75964,0.88191,0.61018,2.11198,0.000119,0.000119,0.000119
97,365.223,0.48158,0.36921,1.37965,0.97844,0.87283,0.96365,0.76148,0.86151,0.60331,2.08409,9.92e-05,9.92e-05,9.92e-05
98,368.46,0.49247,0.36629,1.44294,0.97832,0.86767,0.9645,0.76654,0.84823,0.59409,2.06044,7.94e-05,7.94e-05,7.94e-05
99,371.8,0.4808,0.36986,1.40024,0.98283,0.86538,0.96444,0.76455,0.84296,0.58113,2.03782,5.96e-05,5.96e-05,5.96e-05
100,375.074,0.47998,0.3533,1.33338,0.98952,0.86538,0.96384,0.76636,0.84509,0.57255,2.05436,3.98e-05,3.98e-05,3.98e-05
